Model,Delta_g,Ability,Coherence_R2_1F,Coherence_Cosine_Raw,params_num,model_type
cerebras/Cerebras-GPT-111M,-0.00119999999999998,69.24428278528924,0.6778453746109138,0.22719046215368616,0.111,base_or_other
Corianas/111m,-0.00118000000000001,69.31254584196165,0.6737777995787093,0.22811130211842093,0.153,base_or_other
BEE-spoke-data/Mixtral-GQA-400m-v2,-0.00114999999999998,69.68772016915855,0.6732088205965515,0.23487283196589553,2.006,merge_or_moe
postbot/distilgpt2-emailgen,-0.00113999999999997,69.7163854393421,0.6689982953745551,0.23636008481282877,0.088,base_or_other
BEE-spoke-data/verysmol_llama-v11-KIx2,-0.00113000000000002,69.84782846458134,0.6657167116009068,0.2395726870926427,0.058,base_or_other
BEE-spoke-data/smol_llama-101M-GQA,-0.00113000000000002,70.1000901068059,0.6785179051543976,0.2423061312092394,0.101,base_or_other
euclaise/gpt-neox-122m-minipile-digits,-0.00112000000000001,69.72938056251598,0.6602518148116661,0.23827439132307973,0.172,base_or_other
MBZUAI/lamini-cerebras-256m,-0.00112000000000001,70.22113377581458,0.6742396551463476,0.24636658178098056,0.256,base_or_other
chargoddard/SmolLlamix-8x101M,-0.00111,70.11618377326603,0.6684732423803756,0.2442035775969773,0.399,merge_or_moe
BEE-spoke-data/smol_llama-81M-tied,-0.00111,70.29182130010794,0.6726365621486403,0.24653319115472822,0.081,base_or_other
EleutherAI/gpt-neo-125m,-0.00109999999999999,70.67269928134444,0.6828203045239005,0.2519356904212018,0.15,base_or_other
BEE-spoke-data/smol_llama-220M-open_instruct,-0.00109999999999999,70.50650318180722,0.6755566451957202,0.2509370656485756,0.218,instruction_or_chat
ogimgio/gpt-neo-125m-neurallinguisticpioneers,-0.00108999999999998,70.70551704250563,0.6804637154402496,0.25321287957466193,0.125,base_or_other
Felladrin/Llama-68M-Chat-v1,-0.00107999999999997,70.27976945873067,0.6594446755990941,0.24804671766366107,0.068,instruction_or_chat
Felladrin/Minueza-32M-Chat,-0.00107999999999997,69.75032956317952,0.641170819242737,0.24179959095597361,0.033,instruction_or_chat
qblocks/gpt2_137m_DolphinCoder,-0.00107000000000002,71.05557786839817,0.680222987949982,0.2588875722872846,0.137,base_or_other
Josephgflowers/distillgpt2Cinder,-0.00107000000000002,70.03436654980057,0.647096948201275,0.24711107445255936,0.082,base_or_other
HWERI/pythia-70m-deduped-cleansharegpt-en,-0.00107000000000002,70.02530900406775,0.6431329905314784,0.24756778204956276,0.07,base_or_other
qiyinmiss/My_GPT2,-0.00107000000000002,71.06048991955674,0.6820467106645219,0.25915815797247316,0.137,base_or_other
lgaalves/gpt2_camel_physics-platypus,-0.00106000000000001,71.05217048178505,0.6784517594813184,0.2603644592687399,0.124,base_or_other
BEE-spoke-data/zephyr-220m-sft-full,-0.00105,70.63287806020304,0.6568805230700112,0.2555527199325684,0.218,base_or_other
vilm/Mixsmol-4x400M-v0.1-epoch1,-0.00105,71.00681596210426,0.6673433472916139,0.2600516281641216,1.774,merge_or_moe
Isotonic/smol_llama-4x220M-MoE,-0.00103999999999999,70.75260625198071,0.6546364292985489,0.25862180353322317,0.595,base_or_other
ethzanalytics/pythia-31m,-0.00103999999999999,70.03485916638093,0.6322174882815699,0.2487586944994775,0.03,base_or_other
AI-Sweden-Models/gpt-sw3-126m-instruct,-0.00102000000000002,70.92896484773237,0.6532941159565799,0.26075440423180324,0.186,instruction_or_chat
aisquared/dlite-v1-124m,-0.00101000000000001,71.29646223448329,0.658951921490454,0.2670503690806616,0.124,base_or_other
Tincando/fiction_story_generator,-0.001,70.77383375200176,0.6352309588327787,0.2621688057293595,NA,base_or_other
M4-ai/TinyMistral-6x248M-Instruct,-0.001,70.27770345262876,0.6198084580467559,0.2549979245688949,1.003,instruction_or_chat
klosax/pythia-160m-deduped-step92k-193bt,-0.001,71.6596971329791,0.6697341079601282,0.27115636922538894,0.16,base_or_other
Corianas/Quokka_590m,-9.8999999999999e-4,71.54626463984145,0.6589889029198585,0.27126048967076505,0.666,base_or_other
